route,category,slug,title,markdown_bytes,code_blocks
"/design-system","overview","homepage","Supabase Design System","601","0"
"/design-system/docs","getting-started","introduction","Introduction","395","0"
"/design-system/docs/accessibility","getting-started","accessibility","Accessibility","7400","8"
"/design-system/docs/color-usage","getting-started","color-usage","Color usage","2425","1"
"/design-system/docs/components/accordion","components","accordion","Accordion","2435","5"
"/design-system/docs/components/alert","components","alert","Alert","1697","4"
"/design-system/docs/components/alert-dialog","components","alert-dialog","Alert Dialog","8253","6"
"/design-system/docs/components/aspect-ratio","components","aspect-ratio","Aspect Ratio","1124","4"
"/design-system/docs/components/avatar","components","avatar","Avatar","836","4"
"/design-system/docs/components/badge","components","badge","Badge","1691","5"
"/design-system/docs/components/breadcrumb","components","breadcrumb","Breadcrumb","3836","8"
"/design-system/docs/components/button","components","button","Button","5682","7"
"/design-system/docs/components/calendar","components","calendar","Calendar","1435","4"
"/design-system/docs/components/card","components","card","Card","842","3"
"/design-system/docs/components/carousel","components","carousel","Carousel","5603","12"
"/design-system/docs/components/checkbox","components","checkbox","Checkbox","922","4"
"/design-system/docs/components/collapsible","components","collapsible","Collapsible","2786","5"
"/design-system/docs/components/combobox","components","combobox","Combobox","7707","3"
"/design-system/docs/components/command","components","command","Command","4069","5"
"/design-system/docs/components/commandmenu","components","commandmenu","Command Menu (cmdk)","3632","3"
"/design-system/docs/components/context-menu","components","context-menu","Context Menu","3202","4"
"/design-system/docs/components/date-picker","components","date-picker","Date Picker","3514","3"
"/design-system/docs/components/dialog","components","dialog","Dialog","5232","5"
"/design-system/docs/components/drawer","components","drawer","Drawer","4605","4"
"/design-system/docs/components/dropdown-menu","components","dropdown-menu","Dropdown Menu","4835","4"
"/design-system/docs/components/expanding-textarea","components","expanding-textarea","Expanding Textarea","1200","4"
"/design-system/docs/components/field","components","field","Field","7713","15"
"/design-system/docs/components/form","components","form","React Hook Form","5789","6"
"/design-system/docs/components/hover-card","components","hover-card","Hover Card","1770","4"
